Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,18/02/2020 18:15,FALSE,Sheffield Running,4,346,00:24:47,146,167,3.2,159,184,06:11,04:21,102,113,1.02,0,0,--,--,0,0,0,--,--,--,24:47:00,00:00,0,00:00,No,00:02.6,5,0
Running,25/01/2020 11:40,FALSE,Sheffield Running,1.01,101,06:07.5,169,186,2.6,167,184,06:03,04:51,2,24,0.99,0,0,--,--,0,0,0,--,--,--,06:07.5,00:00,0,00:00,No,00:05.6,2,0
Running,25/01/2020 10:56,FALSE,Sheffield Running,5.01,499,00:36:20,148,172,3.6,149,242,07:16,04:50,69,70,0.92,0,0,--,--,0,0,0,--,--,--,36:20:00,00:00,0,00:00,No,00:02.3,6,0
Running,18/01/2020 15:29,FALSE,Sheffield Running,6.03,651,00:44:07,155,186,4.7,142,174,07:19,05:01,94,76,0.95,0,0,--,--,0,0,0,--,--,--,44:07:00,00:00,0,00:00,No,00:11.2,7,0
Running,11/01/2020 15:42,FALSE,Sheffield Running,1.02,96,06:14.6,159,173,2.3,162,173,06:08,05:01,--,29,1,0,0,--,--,0,0,0,--,--,--,06:14.6,00:00,0,00:00,No,00:06.1,2,0
Running,11/01/2020 14:49,FALSE,Sheffield Running,5.02,560,00:37:16,152,182,4.1,146,239,07:26,03:31,52,54,0.92,0,0,--,--,0,0,0,--,--,--,37:16:00,00:00,0,00:00,No,00:11.2,6,0
Running,03/01/2020 15:33,FALSE,Sheffield Running,5.19,665,00:41:41,157,187,4.7,137,239,08:01,04:28,89,68,0.91,0,0,--,--,0,0,0,--,--,--,41:41:00,00:00,0,00:00,No,01:00.8,6,0
Treadmill Running,29/10/2019 17:41,FALSE,Treadmill Running,2.02,196,00:12:02,158,167,3,159,165,05:57,05:16,--,--,1.05,0,0,--,--,0,0,0,--,--,--,12:02,00:00,0,00:00,No,00:11.7,3,0
Running,13/08/2019 17:43,FALSE,Sheffield Running,0.45,48,03:08.5,149,162,1.7,153,184,06:59,05:04,8,--,0.94,0,0,--,--,0,0,0,--,--,--,03:08.5,00:00,0,00:00,No,00:00.0,1,0
Running,15/05/2019 17:59,FALSE,Sheffield Running,3.33,289,00:18:36,151,171,3.1,159,171,05:35,04:41,33,26,1.13,0,0,--,--,0,0,0,--,--,--,18:36,00:00,0,00:00,No,02:18.3,4,0
Running,11/05/2019 14:00,FALSE,Sheffield Running,5.04,524,00:30:12,166,188,4.5,154,176,06:00,04:25,32,117,1.08,0,0,--,--,0,0,0,--,--,--,30:12:00,00:00,0,00:00,No,00:13.1,6,0
Running,09/05/2019 18:00,FALSE,Sheffield Running,5,466,00:30:43,148,167,3.4,154,180,06:08,05:02,35,--,1.05,0,0,--,--,0,0,0,--,--,--,30:43:00,00:00,0,00:00,No,00:02.3,6,0
Running,06/05/2019 18:10,FALSE,Sheffield Running,4.21,409,00:28:26,147,175,3.1,150,179,06:45,04:44,55,77,0.98,0,0,--,--,0,0,0,--,--,--,28:26:00,00:00,0,00:00,No,01:24.6,5,0
Running,04/05/2019 11:18,FALSE,Sheffield Running,8.09,692,00:52:02,140,174,3.3,151,199,06:26,04:11,138,160,1.03,0,0,--,--,0,0,0,--,--,--,52:02:00,00:00,0,00:00,No,00:27.1,9,0
Running,02/05/2019 18:41,FALSE,Sheffield Running,5.16,448,00:30:07,147,166,3.4,155,226,05:50,04:13,77,130,1.1,0,0,--,--,0,0,0,--,--,--,30:07:00,00:00,0,00:00,No,01:05.3,6,0
Running,30/04/2019 18:07,FALSE,Sheffield Running,6,565,00:36:47,154,186,3.8,153,196,06:08,04:38,78,94,1.06,0,0,--,--,0,0,0,--,--,--,36:47:00,00:00,0,00:00,No,00:01.7,7,0
Running,26/04/2019 18:17,FALSE,Sheffield Running,8.12,757,00:50:57,149,188,4.1,151,243,06:17,04:02,69,133,1.05,0,0,--,--,0,0,0,--,--,--,50:57:00,00:00,0,00:00,No,00:42.7,9,0
Running,16/04/2019 18:30,FALSE,Sheffield Running,6,485,00:36:01,141,170,3,155,177,06:00,04:21,86,104,1.07,0,0,--,--,0,0,0,--,--,--,36:01:00,00:00,0,00:00,No,00:01.4,7,0
Running,13/04/2019 16:21,FALSE,Sheffield Running,6.01,562,00:35:53,157,179,3.6,154,237,05:58,04:12,95,112,1.09,0,0,--,--,0,0,0,--,--,--,35:53:00,00:00,0,00:00,No,00:03.4,7,0
Running,11/04/2019 18:03,FALSE,Sheffield Running,8.05,807,00:48:53,162,196,4.5,154,237,06:04,04:16,143,162,1.07,0,0,--,--,0,0,0,--,--,--,48:53:00,00:00,0,00:00,No,00:12.5,9,0
Running,09/04/2019 18:33,FALSE,Sheffield Running,5.02,495,00:31:57,156,172,3.3,152,176,06:22,04:31,83,99,1.02,0,0,--,--,0,0,0,--,--,--,31:57:00,00:00,0,00:00,No,00:07.9,6,0
Running,05/04/2019 18:17,FALSE,Sheffield Running,8.02,721,00:53:50,141,182,3.1,150,231,06:43,04:29,135,152,0.99,0,0,--,--,0,0,0,--,--,--,53:50:00,00:00,0,00:00,No,00:09.1,9,0
Running,29/03/2019 18:00,FALSE,Sheffield Running,11,"1,034",01:06:05,156,182,4.1,156,240,06:00,04:23,136,218,1.06,0,0,--,--,0,0,0,--,--,--,01:06:05,00:00,0,00:00,No,00:03.1,12,0
Running,26/03/2019 17:53,FALSE,Sheffield Running,7.02,613,00:42:32,146,171,3.2,157,222,06:04,04:27,121,139,1.04,0,0,--,--,0,0,0,--,--,--,42:32:00,00:00,0,00:00,No,00:08.3,8,0
Running,25/03/2019 18:11,FALSE,Sheffield Running,6.3,593,00:35:28,164,181,3.9,162,182,05:38,04:29,43,129,1.09,0,0,--,--,0,0,0,--,--,--,35:28:00,00:00,0,00:00,No,01:36.7,7,0
Running,22/03/2019 17:51,FALSE,Sheffield Running,3.18,293,00:19:10,153,170,2.9,155,180,06:02,04:06,22,77,1.06,0,0,--,--,0,0,0,--,--,--,19:10,00:00,0,00:00,No,01:52.3,4,0
Running,20/03/2019 18:14,FALSE,Sheffield Running,7.02,725,00:45:08,157,180,4.1,156,230,06:26,04:48,123,140,0.99,0,0,--,--,0,0,0,--,--,--,45:08:00,00:00,0,00:00,No,00:09.1,8,0
Running,15/03/2019 17:18,FALSE,Sheffield - Running,10.02,917,00:58:45,155,186,4.2,156,240,05:52,03:46,138,210,1.09,0,0,--,--,0,0,0,--,--,--,58:45:00,00:00,0,00:00,No,00:05.8,11,0
Running,13/03/2019 18:06,FALSE,Sheffield - Running,10.16,"1,063",01:03:14,162,182,4.8,155,245,06:14,03:56,155,221,1.03,0,0,--,--,0,0,0,--,--,--,01:03:14,00:00,0,00:00,No,01:01.8,11,0
Running,11/03/2019 18:07,FALSE,Sheffield - Running,7.03,733,00:47:03,153,173,3.7,150,226,06:42,04:50,121,139,0.99,0,0,--,--,0,0,0,--,--,--,47:03:00,00:00,0,00:00,No,00:12.1,8,0
Running,08/03/2019 18:17,FALSE,Sheffield - Running,7.12,728,00:45:04,157,180,3.8,151,241,06:20,04:13,130,148,1.04,0,0,--,--,0,0,0,--,--,--,45:04:00,00:00,0,00:00,No,00:42.0,8,0
Running,07/03/2019 18:06,FALSE,Sheffield - Running,5.02,443,00:29:24,148,185,3.2,155,243,05:52,04:12,68,87,1.09,0,0,--,--,0,0,0,--,--,--,29:24:00,00:00,0,00:00,No,00:05.3,6,0
Running,05/03/2019 17:49,FALSE,Sheffield - Running,7.12,708,00:44:10,155,199,4.1,155,240,06:12,04:31,121,138,1.04,0,0,--,--,0,0,0,--,--,--,44:10:00,00:00,0,00:00,No,00:41.0,8,0
Running,03/03/2019 18:14,FALSE,Sheffield - Running,5.01,435,00:30:55,143,175,3.1,153,237,06:10,04:01,66,88,1.05,0,0,--,--,0,0,0,--,--,--,30:55:00,00:00,0,00:00,No,00:05.0,6,0
Running,01/03/2019 17:57,FALSE,Sheffield - Running,7.08,581,00:43:03,140,163,3.2,157,221,06:05,04:16,117,143,1.05,0,0,--,--,0,0,0,--,--,--,43:03:00,00:00,0,00:00,No,00:33.8,8,0
